id_mpio,entidad,mpio,clasificacion_2000,grado_idh_2005,idh_2000,clasificacion_2005,idh_2005,tasa_moralidad_infantil_2000,tasa_mortalidad_infantil_2005,tasa_alfabetizacion_2000,tasa_alfabetizacion_2005,tasa_asistencia_escolar_2000,tasa_asistencia_escolar_2005,usd_ppc_2000,usd_ppc_2005,indice_salud_2000,indice_salud_2005,indice_educacion_2000,indice_educacion_2005,indice_ingreso_2000,indice_ingreso_2005
13015,Hidalgo,Cardonal,1046,medio,0.7291,1237,0.7565,30.87088,19.09766,77.90428,79.54913,68.93421,72.53622,5808.641032,4513.370698,0.7604335,0.8616309,0.7491426,0.7721149,0.6779531,0.6358427
12068,Guerrero,La Unión de Isidoro Montes de Oca,1471,medio,0.6945,1238,0.7563,29.81437,19.39303,78.03848,78.70715,57.16336,63.43616,3711.388889,5665.484048,0.7695147,0.8590923,0.7108011,0.7361682,0.6031899,0.6737881
12061,Guerrero,Tixtla de Guerrero,973,medio,0.7343,1239,0.7563,25.07399,21.34757,77.15602,79.84747,70.72619,70.55174,4697.941356,5191.084926,0.8102609,0.8422917,0.7501274,0.767489,0.6425323,0.6591924
30132,Veracruz,Las Vigas de Ramírez,1118,medio,0.7226,1240,0.7562,27.60629,24.80005,81.46381,84.28527,54.95275,58.96568,5009.175137,6538.610038,0.7884942,0.8126156,0.7262679,0.7584541,0.6532387,0.6977108
20267,Oaxaca,San Miguel del Río,1132,medio,0.7215,1241,0.7562,22.71853,17.12487,97.60765,95.93909,37.5,46.875,2836.158515,3518.986679,0.8305075,0.8785883,0.7757177,0.7958439,0.5583001,0.5943052
21149,Puebla,Santiago Miahuatlán,1446,medio,0.6968,1242,0.7562,30.27947,20.97238,84.71157,85.08973,53.21798,59.09549,3284.060908,5183.839401,0.7655169,0.8455169,0.7421371,0.7642498,0.5827733,0.6589593
21013,Puebla,Altepexi,1690,medio,0.6741,1243,0.7561,27.51312,16.40832,76.56924,81.71813,44.66801,53.37788,3113.526024,5250.821384,0.789295,0.8847476,0.659355,0.7227138,0.5738732,0.6611021
24044,San Luis Potosí,Vanegas,1440,medio,0.6973,1244,0.7561,31.79889,22.99138,85.80772,87.68494,59.8283,57.54036,3005.731627,5341.154591,0.7524564,0.8281625,0.7714791,0.7763675,0.5679924,0.663949
20287,Oaxaca,San Miguel Tulancingo,1385,medio,0.7016,1245,0.7561,28.20174,18.40501,77.95527,74.31906,73.3871,73.75,2818.894551,5203.18502,0.783376,0.8675848,0.7643254,0.7412938,0.5572811,0.659581
21208,Puebla,Zacatlán,1052,medio,0.7287,1246,0.7560,28.11072,22.61116,82.08473,84.53145,64.98312,68.78156,4581.500925,4733.545455,0.7841583,0.8314307,0.7638419,0.7928149,0.6383434,0.6437925
16055,Michoacán,Múgica,1068,medio,0.7273,1247,0.7559,26.25491,23.17919,81.90787,82.52379,57.29078,61.16143,4765.945553,6143.052109,0.8001105,0.8265481,0.7370217,0.75403,0.644931,0.6872956
26003,Sonora,Alamos,1190,medio,0.7172,1248,0.7559,33.6109,29.18158,84.68116,85.29517,58.67378,66.00337,5057.513374,6800.440974,0.7368813,0.7749537,0.7601203,0.7886457,0.6548415,0.704264
13042,Hidalgo,Molango de Escamilla,1140,medio,0.7208,1249,0.7559,32.6635,20.2243,83.08465,83.89184,66.84043,68.56778,4646.17288,4306.423048,0.7450244,0.8519472,0.7766991,0.7878382,0.6406829,0.6280088
20401,Oaxaca,Santa María Colotepec,1124,medio,0.7222,1250,0.7559,27.10274,17.69953,80.5432,83.92407,62.86482,64.5493,4295.030006,4092.006314,0.7928225,0.8736488,0.7465041,0.7746581,0.6275667,0.6194847
15049,México,Joquicingo,929,medio,0.7379,1251,0.7558,26.33451,26.27566,88.45552,89.67803,60.19946,59.17389,4204.970101,5618.597163,0.799426,0.7999322,0.7903683,0.7950999,0.6240298,0.6724011
20269,Oaxaca,San Miguel el Grande,1634,medio,0.6790,1252,0.7557,29.36298,20.51466,73.48963,78.12041,78.2172,78.34448,2161.421505,4513.127578,0.7733946,0.8494511,0.7506549,0.781951,0.5129549,0.6358337
24045,San Luis Potosí,Venado,1201,medio,0.7157,1253,0.7556,32.09477,24.98882,85.25433,85.2714,60.68096,66.71162,4276.081005,5379.737961,0.7499132,0.810993,0.770632,0.7908481,0.6268287,0.6651503
